OID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,DIST0228_,DIST0228_I,DISTNUMBER,DIST_NAME,Shape_Length,Shape_Area_1
55,56144,56144,B5,G6350,S,256529421.000000000000000,629262.000000000000000,+43.8513924,-096.3920045,130571.248410000000149,257423390.282000005245209,56,1,55,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,130571.248409992389497,257423390.281934589147568
56,56145,56145,B5,G6350,S,138898536.000000000000000,0.000000000000000,+44.0547338,-095.1757208,75615.362049000003026,138891258.233999997377396,57,1,56,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,75615.362048990922631,138891258.233589351177216
57,56146,56146,B5,G6350,S,2570165.000000000000000,0.000000000000000,+43.5800619,-096.1034317,6420.068638220000139,2572079.334759999997914,58,1,57,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,6420.068638221790025,2572079.334760840982199
58,56147,56147,B5,G6350,S,76698902.000000000000000,45349.000000000000000,+43.7574056,-096.0576840,65239.488573800001177,76797571.916899994015694,59,1,58,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,65239.488573820235615,76797571.916946902871132
59,56149,56149,B5,G6350,S,287880815.000000000000000,9662369.000000000000000,+44.3041572,-096.3055638,130679.977996999994502,297814821.009999990463257,60,1,59,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,130679.977997187801520,297814821.010174393653870
60,56150,56150,B5,G6350,S,444112055.000000000000000,14454276.000000000000000,+43.6282179,-095.1971589,139964.656935000006342,458558711.271000027656555,61,1,60,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,139964.656935070262989,458558711.271461784839630
61,56151,56151,B5,G6350,S,259964038.000000000000000,1343485.000000000000000,+44.0314510,-095.9294218,89424.060855899995659,261452511.166999995708466,62,1,61,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,89424.060855916701257,261452511.166816055774689
62,56152,56152,B5,G6350,S,342619370.000000000000000,1072907.000000000000000,+44.2302973,-095.2761256,130385.365170000004582,343696130.823000013828278,63,1,62,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,130385.365169739598059,343696130.822572171688080
63,56153,56153,B5,G6350,S,9347501.000000000000000,1823.000000000000000,+43.8266553,-096.0031043,13081.296310699999594,9355325.018589999526739,64,1,63,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,13081.296310658739458,9355325.018593879416585
64,56155,56155,B5,G6350,S,109918306.000000000000000,70681.000000000000000,+43.7724498,-095.9447873,58496.034663200000068,110052626.222000002861023,65,1,64,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,58496.034663168939005,110052626.221803978085518
65,56156,56156,B5,G6350,S,433126665.000000000000000,592422.000000000000000,+43.6626555,-096.2252621,141981.500220999994781,434094536.398000001907349,66,1,65,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,141981.500221308670007,434094536.397939503192902
66,56157,56157,B5,G6350,S,117096636.000000000000000,264158.000000000000000,+44.4041751,-095.9483768,65194.782701299998735,117426080.796000003814697,67,1,66,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,65194.782701326315873,117426080.795652076601982
67,56158,56158,B5,G6350,S,105965936.000000000000000,11716.000000000000000,+43.6406335,-096.0785002,76670.695479500005604,106053162.854000002145767,68,1,67,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,76670.695479483969393,106053162.853908255696297
68,56159,56159,B5,G6350,S,309861662.000000000000000,1605038.000000000000000,+43.9411765,-094.9319055,104209.766996999998810,311401854.669000029563904,69,1,68,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,104209.766997185855871,311401854.668906927108765
69,56160,56160,B5,G6350,S,55851135.000000000000000,1276839.000000000000000,+43.8411574,-094.8047338,76720.950954600004479,57111995.301899999380112,70,1,69,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,76720.950954633415677,57111995.301911465823650
70,56161,56161,B5,G6350,S,84142553.000000000000000,701489.000000000000000,+43.7070310,-095.3248268,56358.167284900002414,84849332.296900004148483,71,1,70,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,56358.167284873248718,84849332.296928301453590
71,56162,56162,B5,G6350,S,59474184.000000000000000,0.000000000000000,+43.8417035,-094.6687429,49131.796146200002113,59452943.144199997186661,72,1,71,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,49131.796146151420544,59452943.144203081727028
72,56164,56164,B5,G6350,S,678397771.000000000000000,765545.000000000000000,+44.0605210,-096.3426843,169692.752603000000818,679815927.723000049591064,73,1,72,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,169692.752603133703815,679815927.722653508186340
73,56165,56165,B5,G6350,S,98853223.000000000000000,145553.000000000000000,+43.7253431,-095.7030570,51584.982033100000990,99035684.573400005698204,74,1,73,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,51584.982033118831168,99035684.573384612798691
74,56166,56166,B5,G6350,S,92226714.000000000000000,14822.000000000000000,+44.2030009,-095.3809864,70022.370753099996364,92249282.350400000810623,75,1,74,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,70022.370753140436136,92249282.350448116660118
75,56167,56167,B5,G6350,S,131846938.000000000000000,6157350.000000000000000,+43.5539270,-095.4087283,65310.852222200002871,138021819.583000004291534,76,1,75,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,65310.852222236040689,138021819.582870095968246
76,56168,56168,B5,G6350,S,253293366.000000000000000,327316.000000000000000,+43.6174883,-095.8094894,103799.619063000005553,253737771.518999993801117,77,1,76,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,103799.619063307894976,253737771.518858373165131
77,56169,56169,B5,G6350,S,140765632.000000000000000,2987188.000000000000000,+44.3383340,-096.0065101,71727.657106200000271,143840816.439999997615814,78,1,77,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,71727.657106170765474,143840816.440401107072830
78,56170,56170,B5,G6350,S,178119584.000000000000000,2790862.000000000000000,+44.1736784,-096.0905542,99876.162190999995801,181036958.192999988794327,79,1,78,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,99876.162191023147898,181036958.192548066377640
79,56171,56171,B5,G6350,S,243489761.000000000000000,7221097.000000000000000,+43.6712851,-094.7617895,99480.708603599996422,250635317.923000007867813,80,1,79,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,99480.708603622886585,250635317.922669500112534
80,56172,56172,B5,G6350,S,308522978.000000000000000,6378170.000000000000000,+44.0141627,-095.7755132,136376.794679000013275,315031631.044000029563904,81,1,80,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,136376.794679414742859,315031631.044468104839325
81,56173,56173,B5,G6350,S,74431688.000000000000000,0.000000000000000,+43.5247205,-096.2459758,45149.242409099999350,74498198.112200006842613,82,1,81,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,45149.242409075843170,74498198.112186834216118
82,56174,56174,B5,G6350,S,99353932.000000000000000,1837783.000000000000000,+44.0163363,-095.3050917,65780.576513099993463,101195781.202999994158745,83,1,82,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,65780.576513112435350,101195781.203265845775604
83,56175,56175,B5,G6350,S,353805776.000000000000000,12502903.000000000000000,+44.2607012,-095.6385056,142440.180833999998868,366414612.222999989986420,84,1,83,22038554619.304611206054688,753722.897390000056475,7.000000000000000,5.000000000000000,8,WILLMAR,142440.180834391445387,366414612.222734272480011
